Ticker,Fiyat,SMA_50,SMA_150,SMA_200,52W_High,52W_Low,High_dan_Uzaklık_%,Low_dan_Artış_%,RS
LRCX,237.23,201.4,151.25,135.32,248.17,58.73,4.41,303.93,100.0
RTX,204.66,189.97,171.67,163.11,204.66,112.23,0.0,82.36,100.0
AMAT,360.32,296.27,233.35,217.66,360.32,125.98,0.0,186.01,100.0
CAT,770.01,636.69,531.68,487.86,775.0,270.22,0.64,184.95,100.0
LUV,54.69,44.07,36.18,35.15,54.69,23.67,0.0,131.09,100.0
KLAC,1475.92,1369.61,1142.22,1061.33,1684.71,572.94,12.39,157.61,100.0
AMD,203.93,220.87,202.8,182.48,264.33,78.21,22.85,160.75,100.0
INTC,46.69,43.36,34.72,31.37,54.32,18.13,14.05,157.53,100.0
GOOGL,302.48,320.87,267.91,243.37,343.69,144.3,11.99,109.61,96.14
JNJ,243.77,217.51,193.42,182.92,244.55,143.15,0.32,70.29,93.43
GE,329.91,308.53,294.47,280.23,329.91,166.17,0.0,98.53,92.02
LMT,653.48,545.62,488.51,481.84,653.48,404.69,0.0,61.48,91.72
GILD,155.09,130.66,120.95,117.14,155.8,94.94,0.46,63.36,86.55
MRK,121.88,108.27,92.73,88.9,121.93,71.42,0.05,70.65,85.8
VLO,196.7,179.29,164.31,155.84,203.92,101.7,3.54,93.41,83.4
FDX,376.26,312.05,262.84,252.49,376.26,194.55,0.0,93.4,78.23
BIIB,195.26,179.05,156.82,149.61,201.18,113.38,2.94,72.22,76.75
GS,917.96,916.53,811.93,764.44,975.86,455.22,5.93,101.65,76.41
XOM,145.45,128.65,116.84,113.92,154.53,96.61,5.88,50.55,73.91
BK,118.97,118.69,109.4,104.06,127.61,71.8,6.77,65.7,73.28
C,113.88,115.41,102.93,96.38,123.77,56.66,7.99,101.0,73.1
NVDA,185.48,184.52,182.53,172.05,207.03,94.29,10.41,96.7,69.11
STT,128.46,129.41,118.24,113.08,136.29,73.77,5.75,74.14,68.94
BA,245.18,228.25,220.29,216.67,252.15,136.59,2.77,79.5,68.51
AMGN,374.64,336.37,309.01,300.98,381.68,254.3,1.84,47.32,68.3
MRNA,43.76,37.11,30.13,29.43,51.87,22.36,15.64,95.71,68.25
HAL,33.53,31.27,26.11,24.73,35.03,18.84,4.27,78.02,67.67
MAR,359.35,318.21,286.68,281.15,359.35,209.55,0.0,71.49,64.09
PSX,157.43,141.19,133.58,129.32,161.5,90.32,2.52,74.31,63.73
USB,58.05,55.19,49.46,47.86,60.69,35.28,4.35,64.54,63.16
MS,171.42,179.59,161.81,153.67,190.18,97.22,9.87,76.32,62.93
TJX,154.77,153.92,143.41,138.99,157.8,111.45,1.92,38.87,62.32
WMT,129.45,118.41,107.34,104.68,133.89,81.24,3.32,59.34,61.98
ABBV,233.5,222.82,216.42,208.11,240.69,166.16,2.99,40.53,61.55
LLY,1046.43,1048.43,893.7,861.47,1108.09,622.32,5.56,68.15,61.31
PNC,230.94,217.52,199.33,193.13,242.48,144.5,4.76,59.82,60.04
CVS,78.26,78.1,74.28,71.57,83.87,57.8,6.69,35.4,60.02
SLB,49.67,44.05,37.58,36.66,51.56,31.0,3.68,60.2,59.29
RIVN,17.11,17.57,15.13,14.88,22.45,10.61,23.76,61.31,58.75
CSCO,77.07,77.72,72.24,70.1,86.78,52.27,11.19,47.43,58.49
CVX,180.35,162.78,155.98,151.73,185.82,129.22,2.95,39.56,57.11
HLT,317.98,295.86,277.6,271.64,325.13,200.93,2.2,58.25,56.86
REGN,791.6,761.2,655.87,628.37,812.27,481.73,2.54,64.32,55.34
BMY,60.35,55.11,48.64,47.96,61.99,42.1,2.64,43.35,54.86
TFC,52.25,50.32,46.02,44.43,55.25,33.19,5.44,57.42,54.3
ILMN,116.65,136.56,115.14,108.07,153.95,70.3,24.23,65.94,53.74
COP,108.82,98.58,93.67,92.47,111.43,80.54,2.34,35.11,53.43
TSLA,412.18,443.26,407.49,385.81,489.88,221.86,15.86,85.78,53.26
MMM,169.01,163.33,158.99,155.73,173.83,123.81,2.77,36.51,53.24
BAC,52.83,54.36,51.43,49.63,57.25,33.82,7.72,56.19,52.61
PFE,27.38,25.6,24.55,24.08,27.73,20.13,1.28,36.0,52.53
LOW,280.45,260.61,248.22,241.46,287.39,207.51,2.41,35.15,51.3
JPM,306.61,314.41,304.67,295.15,334.61,207.32,8.37,47.89,50.85
AXP,345.89,366.15,342.65,331.43,384.04,229.71,9.93,50.58,50.19
WFC,87.94,91.24,84.83,82.41,95.92,59.68,8.32,47.34,50.15
DAL,70.93,69.91,62.23,58.92,75.35,35.54,5.87,99.57,47.86
UAL,114.06,110.95,102.15,96.31,117.53,56.15,2.95,103.13,47.53
AAPL,266.14,266.9,252.1,239.88,285.92,171.67,6.92,55.03,47.42
UNP,264.14,237.23,227.51,226.28,264.14,204.53,0.0,29.14,46.74
ZM,88.78,88.3,82.89,81.96,96.22,66.7,7.73,33.1,43.0
TGT,115.57,102.95,95.78,95.43,125.02,82.84,7.56,39.51,34.26
AAL,14.47,14.99,13.35,12.85,16.26,9.07,11.02,59.52,30.76
